Specimen ID,Data Source,Order,Family,Genus,Species,Voucher specimen,Specimen barcode,Collection date,Country of origin,Material sampled,No. of genes recovered,No. of bp recovered,Fasta file url
24739,PAFTOL,Caryophyllales,Aizoaceae,Carpanthea,Carpanthea pomeridiana,Balele 61 (K),,,South Africa,DNA bank,337,156087,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622196.Carpanthea_pomeridiana.a353.fasta
24741,PAFTOL,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus acinaciformis,RBG Kew DNA Bank 28813,,,South Africa,DNA bank,341,169326,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622197.Carpobrotus_acinaciformis.a353.fasta
24743,PAFTOL,Caryophyllales,Aizoaceae,Cleretum,Cleretum papulosum,"Balele, K. 11 (NH)",,,South Africa,DNA bank,346,186426,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622198.Cleretum_papulosum.a353.fasta
24745,PAFTOL,Caryophyllales,Aizoaceae,Antimima,Antimima sp.,"Chase, M.W. 34722 (K)",,,,DNA bank,342,172323,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622199.Antimima_sp.a353.fasta
24747,PAFTOL,Caryophyllales,Aizoaceae,Carruanthus,Carruanthus sp.,"Chase, M.W. 34729 (K)",,,South Africa,DNA bank,343,171033,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622200.Carruanthus_sp.a353.fasta
24749,PAFTOL,Caryophyllales,Aizoaceae,Chasmatophyllum,Chasmatophyllum musculinum,"Chase, M.W. 34730 (K)",,,,DNA bank,344,173046,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622201.Chasmatophyllum_musculinum.a353.fasta
24751,PAFTOL,Caryophyllales,Aizoaceae,Cheiridopsis,Cheiridopsis namaquensis,"Chase, M.W. 34731 (K)",,1998,South Africa,DNA bank,345,178587,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622202.Cheiridopsis_namaquensis.a353.fasta
24753,PAFTOL,Caryophyllales,Aizoaceae,Lapidaria,Lapidaria margaretae,"Chase, M.W. 34736 (K)",,,,DNA bank,343,169557,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622203.Lapidaria_margaretae.a353.fasta
24755,PAFTOL,Caryophyllales,Aizoaceae,Nananthus,Nananthus sp.,"Chase, M.W. 34755 (K)",,,,DNA bank,343,176115,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622204.Nananthus_sp.a353.fasta
24757,PAFTOL,Caryophyllales,Aizoaceae,Orthopterum,Orthopterum coeganum,"Chase, M.W. 34756 (K)",,2005,South Africa,DNA bank,345,181923,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622205.Orthopterum_coeganum.a353.fasta
24759,PAFTOL,Caryophyllales,Aizoaceae,Psammophora,Psammophora nissenii,"Chase, M.W. 34758 (K)",,,,DNA bank,342,171306,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622206.Psammophora_nissenii.a353.fasta
24761,PAFTOL,Caryophyllales,Aizoaceae,Tetragonia,Tetragonia schenckii,"Mannheimer , C.A. 2601 (K)",,,Namibia,DNA bank,342,196671,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7622207.Tetragonia_schenckii.a353.fasta
24769,SRA,Caryophyllales,Cactaceae,Acanthocereus,Acanthocereus cuixmalensis,,,,,,352,262872,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7905861.Acanthocereus_cuixmalensis.a353.fasta
24773,SRA,Brassicales,Brassicaceae,Descurainia,Descurainia sophia,,,,,,350,271782,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR3225692.Descurainia_sophia.a353.fasta
24777,SRA,Asparagales,Orchidaceae,Cypripedium,Cypripedium subtropicum,,,,,,344,242868,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7466545.Cypripedium_subtropicum.a353.fasta
24779,SRA,Poales,Poaceae,Disakisperma,Disakisperma dubium,,,,,,344,252096,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR8401505.Disakisperma_dubium.a353.fasta
24781,SRA,Ericales,Pentaphylacaceae,Eurya,Eurya japonica,,,,,,350,242094,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12009651.Eurya_japonica.a353.fasta
24783,SRA,Ericales,Ebenaceae,Euclea,Euclea crispa,,,,,,349,261987,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12007200.Euclea_crispa.a353.fasta
24785,SRA,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum rotundifolium,,,,,,349,244449,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6435329.Eriogonum_rotundifolium.a353.fasta
24787,SRA,Alismatales,Araceae,Spathiphyllum,Spathiphyllum floribundum,,,,,,344,207192,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR9697570.Spathiphyllum_floribundum.a353.fasta
24793,SRA,Ranunculales,Berberidaceae,Epimedium,Epimedium sagittatum,,,,,,347,240843,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR9163416.Epimedium_sagittatum.a353.fasta
24795,SRA,Fabales,Fabaceae,Entada,Entada abyssinica,,,,,,350,261456,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR10179673.Entada_abyssinica.a353.fasta
24799,SRA,Asparagales,Asparagaceae,Cordyline,Cordyline australis,,,,,,347,250800,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5257973.Cordyline_australis.a353.fasta
24801,SRA,Lamiales,Lamiaceae,Collinsonia,Collinsonia canadensis,,,,,,353,268299,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5150696.Collinsonia_canadensis.a353.fasta
24803,SRA,Ericales,Pentaphylacaceae,Cleyera,Cleyera japonica,,,,,,351,264240,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12009679.Cleyera_japonica.a353.fasta
24807,SRA,Poales,Poaceae,Cleistogenes,Cleistogenes songorica,,,,,,342,253764,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7754466.Cleistogenes_songorica.a353.fasta
24809,SRA,Asterales,Asteraceae,Chamaemelum,Chamaemelum nobile,,,,,,352,249729,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11002813.Chamaemelum_nobile.a353.fasta
24811,SRA,Asterales,Asteraceae,Celmisia,Celmisia lyallii,,,,,,353,256665,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR10237410.Celmisia_lyallii.a353.fasta
24817,SRA,Apiales,Apiaceae,Coriandrum,Coriandrum sativum,,,,,,351,255492,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR8863732.Coriandrum_sativum.a353.fasta
24821,SRA,Malvales,Malvaceae,Sterculia,Sterculia monosperma,,,,,,350,233064,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5138319.Sterculia_monosperma.a353.fasta
24823,SRA,Caryophyllales,Anacampserotaceae,Talinopsis,Talinopsis frutescens,,,,,,351,256434,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6787507.Talinopsis_frutescens.a353.fasta
24825,SRA,Lamiales,Lamiaceae,Tectona,Tectona grandis,,,,,,347,244809,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR2080138.Tectona_grandis.a353.fasta
24827,SRA,Asterales,Asteraceae,Tetragonotheca,Tetragonotheca texana,,,,,,345,158559,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5237263.Tetragonotheca_texana.a353.fasta
24829,SRA,Malvales,Malvaceae,Tilia,Tilia americana,,,,,,351,254979,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6134095.Tilia_americana.a353.fasta
24835,SRA,Asterales,Asteraceae,Cosmos,Cosmos caudatus,,,,,,353,257274,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7704216.Cosmos_caudatus.a353.fasta
24837,SRA,Sapindales,Simaroubaceae,Eurycoma,Eurycoma longifolia,,,,,,342,189765,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR2542444.Eurycoma_longifolia.a353.fasta
