Species,Order,Family,Genus,Fasta file url,Alternative url
Crossyne guttata,Asparagales,Amaryllidaceae,Crossyne,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618661.Crossyne_guttata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618661.Crossyne_guttata.a353.fasta
Scadoxus multiflorus,Asparagales,Amaryllidaceae,Scadoxus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618662.Scadoxus_multiflorus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618662.Scadoxus_multiflorus.a353.fasta
Cryptostephanus vansonii,Asparagales,Amaryllidaceae,Cryptostephanus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618663.Cryptostephanus_vansonii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618663.Cryptostephanus_vansonii.a353.fasta
Brunsvigia orientalis,Asparagales,Amaryllidaceae,Brunsvigia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034008.Brunsvigia_orientalis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR5034008.Brunsvigia_orientalis.a353.fasta
Miersia humilis,Asparagales,Amaryllidaceae,Miersia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618665.Miersia_humilis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618665.Miersia_humilis.a353.fasta
Pancratium maritimum,Asparagales,Amaryllidaceae,Pancratium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618666.Pancratium_maritimum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618666.Pancratium_maritimum.a353.fasta
Galanthus nivalis,Asparagales,Amaryllidaceae,Galanthus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618667.Galanthus_nivalis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618667.Galanthus_nivalis.a353.fasta
Nothoscordum hirtellum,Asparagales,Amaryllidaceae,Nothoscordum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034009.Nothoscordum_hirtellum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR5034009.Nothoscordum_hirtellum.a353.fasta
Hannonia hesperidum,Asparagales,Amaryllidaceae,Hannonia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618668.Hannonia_hesperidum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618668.Hannonia_hesperidum.a353.fasta
Clinanthus incarnatus,Asparagales,Amaryllidaceae,Clinanthus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618669.Clinanthus_incarnatus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618669.Clinanthus_incarnatus.a353.fasta
Zephyranthes gracilifolia,Asparagales,Amaryllidaceae,Zephyranthes,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618670.Zephyranthes_gracilifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618670.Zephyranthes_gracilifolia.a353.fasta
Eustephia coccinea,Asparagales,Amaryllidaceae,Eustephia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618671.Eustephia_coccinea.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618671.Eustephia_coccinea.a353.fasta
Scadoxus puniceus,Asparagales,Amaryllidaceae,Scadoxus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618672.Scadoxus_puniceus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618672.Scadoxus_puniceus.a353.fasta
Worsleya procera,Asparagales,Amaryllidaceae,Worsleya,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618673.Worsleya_procera.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618673.Worsleya_procera.a353.fasta
Leucocoryne odorata,Asparagales,Amaryllidaceae,Leucocoryne,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618674.Leucocoryne_odorata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618674.Leucocoryne_odorata.a353.fasta
Ammocharis coranica,Asparagales,Amaryllidaceae,Ammocharis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR10977914.Ammocharis_coranica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR10977914.Ammocharis_coranica.a353.fasta
Gilliesia miersioides,Asparagales,Amaryllidaceae,Gilliesia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618675.Gilliesia_miersioides.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618675.Gilliesia_miersioides.a353.fasta
Phycella ornata,Asparagales,Amaryllidaceae,Phycella,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618676.Phycella_ornata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Amaryllidaceae/INSDC.ERR7618676.Phycella_ornata.a353.fasta
Triteleia hyacinthina,Asparagales,Asparagaceae,Triteleia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR10977915.Triteleia_hyacinthina.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Asparagaceae/INSDC.ERR10977915.Triteleia_hyacinthina.a353.fasta
Zygogynum crassifolium,Canellales,Winteraceae,Zygogynum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618677.Zygogynum_crassifolium.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Canellales/Winteraceae/INSDC.ERR7618677.Zygogynum_crassifolium.a353.fasta
Beilschmiedia tsangii,Laurales,Lauraceae,Beilschmiedia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618678.Beilschmiedia_tsangii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Laurales/Lauraceae/INSDC.ERR7618678.Beilschmiedia_tsangii.a353.fasta
Neolitsea chunii,Laurales,Lauraceae,Neolitsea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618679.Neolitsea_chunii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Laurales/Lauraceae/INSDC.ERR7618679.Neolitsea_chunii.a353.fasta
Phoebe lanceolata,Laurales,Lauraceae,Phoebe,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618680.Phoebe_lanceolata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Laurales/Lauraceae/INSDC.ERR7618680.Phoebe_lanceolata.a353.fasta
Kibara coriacea,Laurales,Monimiaceae,Kibara,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618681.Kibara_coriacea.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Laurales/Monimiaceae/INSDC.ERR7618681.Kibara_coriacea.a353.fasta
Miliusa sp.,Magnoliales,Annonaceae,Miliusa,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618682.Miliusa_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Magnoliales/Annonaceae/INSDC.ERR7618682.Miliusa_sp.a353.fasta
Mitrephora keithii,Magnoliales,Annonaceae,Mitrephora,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618683.Mitrephora_keithii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Magnoliales/Annonaceae/INSDC.ERR7618683.Mitrephora_keithii.a353.fasta
Pseuduvaria beccarii,Magnoliales,Annonaceae,Pseuduvaria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618684.Pseuduvaria_beccarii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Magnoliales/Annonaceae/INSDC.ERR7618684.Pseuduvaria_beccarii.a353.fasta
Xylopia amplexicaulis,Magnoliales,Annonaceae,Xylopia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618685.Xylopia_amplexicaulis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Magnoliales/Annonaceae/INSDC.ERR7618685.Xylopia_amplexicaulis.a353.fasta
Gymnacranthera farquhariana,Magnoliales,Myristicaceae,Gymnacranthera,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618686.Gymnacranthera_farquhariana.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Magnoliales/Myristicaceae/INSDC.ERR7618686.Gymnacranthera_farquhariana.a353.fasta
Pandanus tectorius,Pandanales,Pandanaceae,Pandanus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618687.Pandanus_tectorius.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Pandanales/Pandanaceae/INSDC.ERR7618687.Pandanus_tectorius.a353.fasta
Sararanga sinuosa,Pandanales,Pandanaceae,Sararanga,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618688.Sararanga_sinuosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Pandanales/Pandanaceae/INSDC.ERR7618688.Sararanga_sinuosa.a353.fasta
Cordyline cannifolia,Asparagales,Asparagaceae,Cordyline,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618689.Cordyline_cannifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Asparagaceae/INSDC.ERR7618689.Cordyline_cannifolia.a353.fasta
Dracaena draco,Asparagales,Asparagaceae,Dracaena,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618690.Dracaena_draco.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Asparagaceae/INSDC.ERR7618690.Dracaena_draco.a353.fasta
Ceodes umbellifera,Caryophyllales,Nyctaginaceae,Ceodes,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618691.Ceodes_umbellifera.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Caryophyllales/Nyctaginaceae/INSDC.ERR7618691.Ceodes_umbellifera.a353.fasta
Muehlenbeckia axillaris,Caryophyllales,Polygonaceae,Muehlenbeckia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618692.Muehlenbeckia_axillaris.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Caryophyllales/Polygonaceae/INSDC.ERR7618692.Muehlenbeckia_axillaris.a353.fasta
Olax benthamiana,Santalales,Olacaceae,Olax,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618693.Olax_benthamiana.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Santalales/Olacaceae/INSDC.ERR7618693.Olax_benthamiana.a353.fasta
Sonneratia sp.,Myrtales,Lythraceae,Sonneratia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5084297.Sonneratia_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Lythraceae/INSDC.ERR5084297.Sonneratia_sp.a353.fasta
Decaspermum fruticosum,Myrtales,Myrtaceae,Decaspermum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034010.Decaspermum_fruticosum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034010.Decaspermum_fruticosum.a353.fasta
Eugenia uniflora,Myrtales,Myrtaceae,Eugenia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034011.Eugenia_uniflora.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034011.Eugenia_uniflora.a353.fasta
Gossia clusioides,Myrtales,Myrtaceae,Gossia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034012.Gossia_clusioides.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034012.Gossia_clusioides.a353.fasta
Leptospermum erubescens,Myrtales,Myrtaceae,Leptospermum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034013.Leptospermum_erubescens.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034013.Leptospermum_erubescens.a353.fasta
Metrosideros nervulosa,Myrtales,Myrtaceae,Metrosideros,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034014.Metrosideros_nervulosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034014.Metrosideros_nervulosa.a353.fasta
Pilidiostigma tropicum,Myrtales,Myrtaceae,Pilidiostigma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034015.Pilidiostigma_tropicum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034015.Pilidiostigma_tropicum.a353.fasta
Rhodamnia cinerea,Myrtales,Myrtaceae,Rhodamnia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034016.Rhodamnia_cinerea.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034016.Rhodamnia_cinerea.a353.fasta
Rhodomyrtus tomentosa,Myrtales,Myrtaceae,Rhodomyrtus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034017.Rhodomyrtus_tomentosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Myrtaceae/INSDC.ERR5034017.Rhodomyrtus_tomentosa.a353.fasta
Crateva adansonii subsp. odora,Brassicales,Capparaceae,Crateva,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618694.Crateva_adansonii_subsp_odora.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Brassicales/Capparaceae/INSDC.ERR7618694.Crateva_adansonii_subsp_odora.a353.fasta
Cochlospermum intermedium,Malvales,Bixaceae,Cochlospermum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618695.Cochlospermum_intermedium.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Bixaceae/INSDC.ERR7618695.Cochlospermum_intermedium.a353.fasta
Abroma augustum,Malvales,Malvaceae,Abroma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618696.Abroma_augustum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618696.Abroma_augustum.a353.fasta
Berrya javanica,Malvales,Malvaceae,Berrya,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618697.Berrya_javanica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618697.Berrya_javanica.a353.fasta
Bombax ceiba,Malvales,Malvaceae,Bombax,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618698.Bombax_ceiba.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618698.Bombax_ceiba.a353.fasta
Brachychiton sp.,Malvales,Malvaceae,Brachychiton,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618699.Brachychiton_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618699.Brachychiton_sp.a353.fasta
Camptostemon schultzii,Malvales,Malvaceae,Camptostemon,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618700.Camptostemon_schultzii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618700.Camptostemon_schultzii.a353.fasta
Helicteres baruensis,Malvales,Malvaceae,Helicteres,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618701.Helicteres_baruensis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618701.Helicteres_baruensis.a353.fasta
Thespesia populnea,Malvales,Malvaceae,Thespesia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618702.Thespesia_populnea.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Malvaceae/INSDC.ERR7618702.Thespesia_populnea.a353.fasta
Gyrinops walla,Malvales,Thymelaeaceae,Gyrinops,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618703.Gyrinops_walla.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Thymelaeaceae/INSDC.ERR7618703.Gyrinops_walla.a353.fasta
Phaleria capitata,Malvales,Thymelaeaceae,Phaleria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618704.Phaleria_capitata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Thymelaeaceae/INSDC.ERR7618704.Phaleria_capitata.a353.fasta
Campnosperma zeylanicum,Sapindales,Anacardiaceae,Campnosperma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618705.Campnosperma_zeylanicum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Anacardiaceae/INSDC.ERR7618705.Campnosperma_zeylanicum.a353.fasta
Gluta renghas,Sapindales,Anacardiaceae,Gluta,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618706.Gluta_renghas.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Anacardiaceae/INSDC.ERR7618706.Gluta_renghas.a353.fasta
Pleiogynium timoriense,Sapindales,Anacardiaceae,Pleiogynium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618707.Pleiogynium_timoriense.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Anacardiaceae/INSDC.ERR7618707.Pleiogynium_timoriense.a353.fasta
Spondias mombin,Sapindales,Anacardiaceae,Spondias,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618708.Spondias_mombin.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Anacardiaceae/INSDC.ERR7618708.Spondias_mombin.a353.fasta
Protium javanicum,Sapindales,Burseraceae,Protium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618709.Protium_javanicum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Burseraceae/INSDC.ERR7618709.Protium_javanicum.a353.fasta
Pseudoclausena chrysogyne,Sapindales,Meliaceae,Pseudoclausena,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618710.Pseudoclausena_chrysogyne.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618710.Pseudoclausena_chrysogyne.a353.fasta
Reinwardtiodendron celebicum,Sapindales,Meliaceae,Reinwardtiodendron,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618711.Reinwardtiodendron_celebicum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618711.Reinwardtiodendron_celebicum.a353.fasta
Turraea virens,Sapindales,Meliaceae,Turraea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618712.Turraea_virens.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618712.Turraea_virens.a353.fasta
Vavaea amicorum,Sapindales,Meliaceae,Vavaea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618713.Vavaea_amicorum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618713.Vavaea_amicorum.a353.fasta
Walsura tubulata,Sapindales,Meliaceae,Walsura,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618714.Walsura_tubulata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618714.Walsura_tubulata.a353.fasta
Xylocarpus moluccensis,Sapindales,Meliaceae,Xylocarpus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618715.Xylocarpus_moluccensis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Meliaceae/INSDC.ERR7618715.Xylocarpus_moluccensis.a353.fasta
Acronychia sp.,Sapindales,Rutaceae,Acronychia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618716.Acronychia_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618716.Acronychia_sp.a353.fasta
Atalantia ceylanica,Sapindales,Rutaceae,Atalantia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618717.Atalantia_ceylanica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618717.Atalantia_ceylanica.a353.fasta
Clausena excavata,Sapindales,Rutaceae,Clausena,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618718.Clausena_excavata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618718.Clausena_excavata.a353.fasta
Geijera linearifolia,Sapindales,Rutaceae,Geijera,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618719.Geijera_linearifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618719.Geijera_linearifolia.a353.fasta
Glycosmis pentaphylla,Sapindales,Rutaceae,Glycosmis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618720.Glycosmis_pentaphylla.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618720.Glycosmis_pentaphylla.a353.fasta
Halfordia sp.,Sapindales,Rutaceae,Halfordia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618721.Halfordia_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618721.Halfordia_sp.a353.fasta
Harrisonia brownii,Sapindales,Rutaceae,Harrisonia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618722.Harrisonia_brownii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618722.Harrisonia_brownii.a353.fasta
Lunasia amara,Sapindales,Rutaceae,Lunasia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618723.Lunasia_amara.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618723.Lunasia_amara.a353.fasta
Medicosma cunninghamii,Sapindales,Rutaceae,Medicosma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618724.Medicosma_cunninghamii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618724.Medicosma_cunninghamii.a353.fasta
Murraya exotica,Sapindales,Rutaceae,Murraya,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618725.Murraya_exotica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618725.Murraya_exotica.a353.fasta
Zanthoxylum flavum,Sapindales,Rutaceae,Zanthoxylum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618726.Zanthoxylum_flavum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Rutaceae/INSDC.ERR7618726.Zanthoxylum_flavum.a353.fasta
Spiraeanthemum ellipticum,Oxalidales,Cunoniaceae,Spiraeanthemum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618727.Spiraeanthemum_ellipticum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Oxalidales/Cunoniaceae/INSDC.ERR7618727.Spiraeanthemum_ellipticum.a353.fasta
Elaeodendron orientale,Celastrales,Celastraceae,Elaeodendron,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618728.Elaeodendron_orientale.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Celastrales/Celastraceae/INSDC.ERR7618728.Elaeodendron_orientale.a353.fasta
Gymnosporia buxifolia,Celastrales,Celastraceae,Gymnosporia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618729.Gymnosporia_buxifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Celastrales/Celastraceae/INSDC.ERR7618729.Gymnosporia_buxifolia.a353.fasta
Gymnosporia pyria,Celastrales,Celastraceae,Gymnosporia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618730.Gymnosporia_pyria.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Celastrales/Celastraceae/INSDC.ERR7618730.Gymnosporia_pyria.a353.fasta
Pleurostylia opposita,Celastrales,Celastraceae,Pleurostylia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618731.Pleurostylia_opposita.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Celastrales/Celastraceae/INSDC.ERR7618731.Pleurostylia_opposita.a353.fasta
Siphonodon celastrineus,Celastrales,Celastraceae,Siphonodon,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618732.Siphonodon_celastrineus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Celastrales/Celastraceae/INSDC.ERR7618732.Siphonodon_celastrineus.a353.fasta
Adenanthera pavonina,Fabales,Fabaceae,Adenanthera,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7618733.Adenanthera_pavonina.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Fabales/Fabaceae/INSDC.ERR7618733.Adenanthera_pavonina.a353.fasta
