Species,Order,Family,Genus,Fasta file url,Alternative url
Caryocar glabrum,Malpighiales,Caryocaraceae,Caryocar,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180060.Caryocar_glabrum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malpighiales/Caryocaraceae/INSDC.ERR4180060.Caryocar_glabrum.a353.fasta
Anisophyllea cinnamomoides,Cucurbitales,Anisophylleaceae,Anisophyllea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180015.Anisophyllea_cinnamomoides.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Cucurbitales/Anisophylleaceae/INSDC.ERR4180015.Anisophyllea_cinnamomoides.a353.fasta
Llagunoa nitida,Sapindales,Sapindaceae,Llagunoa,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006145.Llagunoa_nitida.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Sapindaceae/INSDC.ERR5006145.Llagunoa_nitida.a353.fasta
Acrotrema sp.,Dilleniales,Dilleniaceae,Acrotrema,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180187.Acrotrema_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Dilleniales/Dilleniaceae/INSDC.ERR4180187.Acrotrema_sp.a353.fasta
Bulbophyllum lucidum,Asparagales,Orchidaceae,Bulbophyllum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034628.Bulbophyllum_lucidum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5034628.Bulbophyllum_lucidum.a353.fasta
Cranichis engelii,Asparagales,Orchidaceae,Cranichis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006144.Cranichis_engelii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006144.Cranichis_engelii.a353.fasta
Palmorchis sp.,Asparagales,Orchidaceae,Palmorchis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5084247.Palmorchis_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5084247.Palmorchis_sp.a353.fasta
Calypso bulbosa,Asparagales,Orchidaceae,Calypso,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006143.Calypso_bulbosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006143.Calypso_bulbosa.a353.fasta
Stilbe ericoides,Lamiales,Stilbaceae,Stilbe,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180040.Stilbe_ericoides.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Lamiales/Stilbaceae/INSDC.ERR4180040.Stilbe_ericoides.a353.fasta
Axinandra zeylanica,Myrtales,Crypteroniaceae,Axinandra,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180211.Axinandra_zeylanica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Crypteroniaceae/INSDC.ERR4180211.Axinandra_zeylanica.a353.fasta
Epipogium aphyllum,Asparagales,Orchidaceae,Epipogium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006148.Epipogium_aphyllum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006148.Epipogium_aphyllum.a353.fasta
Hanguana sp.,Commelinales,Hanguanaceae,Hanguana,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180188.Hanguana_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Commelinales/Hanguanaceae/INSDC.ERR4180188.Hanguana_sp.a353.fasta
Alstroemeria pallida,Liliales,Alstroemeriaceae,Alstroemeria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006152.Alstroemeria_pallida.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Alstroemeriaceae/INSDC.ERR5006152.Alstroemeria_pallida.a353.fasta
Dipteronia sinensis,Sapindales,Sapindaceae,Dipteronia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006151.Dipteronia_sinensis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Sapindaceae/INSDC.ERR5006151.Dipteronia_sinensis.a353.fasta
Maxillaria platypetala,Asparagales,Orchidaceae,Maxillaria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006150.Maxillaria_platypetala.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006150.Maxillaria_platypetala.a353.fasta
Campynemanthe viridiflora,Liliales,Campynemataceae,Campynemanthe,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180206.Campynemanthe_viridiflora.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Campynemataceae/INSDC.ERR4180206.Campynemanthe_viridiflora.a353.fasta
Brunellia mexicana,Oxalidales,Brunelliaceae,Brunellia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006149.Brunellia_mexicana.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Oxalidales/Brunelliaceae/INSDC.ERR5006149.Brunellia_mexicana.a353.fasta
Ceroxylon quindiuense,Arecales,Arecaceae,Ceroxylon,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR7617953.Ceroxylon_quindiuense.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Arecales/Arecaceae/INSDC.ERR7617953.Ceroxylon_quindiuense.a353.fasta
Alseuosmia banksii,Asterales,Alseuosmiaceae,Alseuosmia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4179986.Alseuosmia_banksii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asterales/Alseuosmiaceae/INSDC.ERR4179986.Alseuosmia_banksii.a353.fasta
Coelogyne cristata,Asparagales,Orchidaceae,Coelogyne,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006147.Coelogyne_cristata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006147.Coelogyne_cristata.a353.fasta
Athyana weinmanniifolia,Sapindales,Sapindaceae,Athyana,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006146.Athyana_weinmanniifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Sapindaceae/INSDC.ERR5006146.Athyana_weinmanniifolia.a353.fasta
Phyllonoma laticuspis,Aquifoliales,Phyllonomaceae,Phyllonoma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180081.Phyllonoma_laticuspis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Aquifoliales/Phyllonomaceae/INSDC.ERR4180081.Phyllonoma_laticuspis.a353.fasta
